Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
Studio a louer par nuitée par jour,"Virage, Dakar",1 chambre,50.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8a5175527dfe6eeda97b26bee9c0308/-/horizon-files-prod/ed/picture/q6xq7mg4/9428c0ec32675caeada41a54fe6633c1056440e6.jpg
Studio à louer par jours/ nuitées,"Virage, Dakar",1 chambre,60.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f5de69475ed744b5cc8fa9254ac58f3/-/horizon-files-prod/ed/picture/q6gp96z/7e8c5c1fef600bbcadafef8479985cfca1e0c850.jpg
Chambre et studio meublés climatisés à louer par jours,"Cité Keur Gorgui, Dakar",20 chambre,16.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92995ddc5e05aceae8cec053c524b442/-/horizon-files-prod/ed/picture/q6xk5m26/f2c654cd70ab7dae3808058e428101952f6efd71.jpg
Bel appartement meublé 2 chambres (mamelles cité assemblée),"Mamelles, Dakar",2 chambre,100.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/721bcace75c1eb46e954a822e443d851/-/horizon-files-prod/ed/picture/qv4ejm4m/fb46110ea9947fad088f6f689d3ad9a68b2ef160.jpg
Appartement neuf de standing à mermoz,"Mermoz, Dakar",1 chambre,70.0,18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b078081e601d47adc870cb92ae10ae74/-/horizon-files-prod/ed/picture/q22j52v/fd71de97e857cd694122963bbe53f4cc4f67b310.jpg
"2 chambres,salon meublés aux mamelles","Mamelles, Dakar",2 chambre,140.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7731f64d6844e7f2f20aef775eee1c4b/-/horizon-files-prod/ed/picture/qgq9dxzn/378b3a9b480b966093e3a4a034256f29a29388a7.jpg
Appartement meublé,"Hann Maristes, Dakar",2 chambre,150.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a1ea6944e9685837783d3a9dd225cda/-/horizon-files-prod/ed/picture/migrated/qx8kq0v/8bb47437d07291e781600cc41c9d3c77520b1e97.jpg
Appartements meublés à louer yoff virage,"Virage, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad79aef92f9a084ce3051e9ebd0b3b10/-/horizon-files-prod/ed/picture/q8vv7kwx/9a12c3dda7f0d07f48764f6226e45b50287f1008.jpg
Studio meublé,"Golf, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18a24ee3fd2a4ae7284bb8820ea320e5/-/horizon-files-prod/ed/picture/qv4d9q25/07f04ac0c3bd675e67e2ece8d7fba6ba5dd67fea.jpg
Appartement meublé à louer,"Almadies, Dakar",non précisé,,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4f7423ca343fcf8177752d75a26702c/-/horizon-files-prod/ed/picture/qv4d909k/016ca26b1f3bc99ffa7a1efb69b150795bce625a.jpg
Appartement meublé type f4 sicap foire,"Sicap Foire, Dakar",3 chambre,220.0,90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c6a66a8f6e9486983c0963a8b20d9c8/-/horizon-files-prod/ed/picture/qwdz8v0/a02df722d1bf629e20e9761f215db3b7b1d90481.jpg
Appartements meublés haut standing,"Sicap Foire, Dakar",2 chambre,110.0,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4ba4205f02edb27a9c04a90aa59b21c/-/horizon-files-prod/ed/picture/qznk0qr/b3817257ea17ec656bfb327c6328ba7ce1431b5c.jpg
Joli studio meublé,"Vdn, Dakar",1 chambre,30.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3de842e6a8b779b6223aa7ee66fdfe95/-/horizon-files-prod/ed/picture/q0gwkqve/2b9d943b801389e8615570d5775c4f07d0f63438.jpg
Ref_33844_pl bel appartement très cosy meublé à ngor,"Ngor, Dakar",non précisé,,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d662100b98ba35682b2368e32c8c990/-/horizon-files-prod/ed/picture/qrzr6kjx/d5b6f6a66738b75bc6e3d0539b431900a3bd9c32.jpg
"Appartement meublé à ngor, almadies","Ngor, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4b7a55dcb97b3a45e65771d6a76dab2/-/horizon-files-prod/ed/picture/q6xqr7p7/d7d15c7474b0cb414d23e70b1e2d1d7ee9d39275.jpg
Appartement meublé vue sur mer - mermoz,"Mermoz, Dakar",non précisé,,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d4a7a2928bb2a8187382e7f9ef08893/-/horizon-files-prod/ed/picture/qkr775rz/5245fcc1ebc7930455db3a7fbd717cf32f78def3.jpg
Fabuleux 2 ch+salon aux almadies route du king fahd,"Almadies, Dakar",2 chambre,100.0,60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e9a227ce542cb2a7d963990a75bf1d53/-/horizon-files-prod/ed/picture/q0gkw57e/543319c76b135726a33183f3a7e607a373145912.jpg
Bel appartement meublé à louer,"Virage, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4060e0bc60404c1b4011505e898964de/-/horizon-files-prod/ed/picture/q9mkrdpx/e2e9ba9ddb6c111c4811bfef450ba2d92ab7bf26.jpg
Studio meublé à louer aux almadies 2,"Almadies 2, Dakar",non précisé,,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0c476ce4bdbbfa30108ca58fc9a353b/-/horizon-files-prod/ed/picture/qpdm8m40/bcd1df5f0576c9b49eaf93a21c3ccf2ab2b30bae.jpg
Studio meublé à louer à ouest foire,"Yoff, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d9f5e4185f8ce608948d1d755bdea7b/-/horizon-files-prod/ed/picture/migrated/qn7jk4m/2293da9bb74dfd43ad71545edc283c0692a072ad.jpg
Studio meublé à louer par jour,"Sud Foire, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce51670f57780fe54127947a7739ffa5/-/horizon-files-prod/ed/picture/q785rwj8/13b71bd1fb3075168d3922f3974be2c8ada90aec.jpg
Appartement a louer f4 mariste,"Hann Maristes, Dakar",3 chambre,200.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49093b4b0224551e2eea97dfe6fa0857/-/horizon-files-prod/ed/picture/qrz88gnx/ad140a8cd86433bd4684a8e3955358dd4b42274b.jpg
Studio à louer à liberté 6,"Sud Foire, Dakar",1 chambre,100.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c82e53b2090b3bd171f17d0ade3203e/-/horizon-files-prod/ed/picture/q9644z7/c48f1e7142af0a92a31474661668f80adac21346.jpg
Beautiful furnished 2 bedrooms/2 bathrooms for rent,"Liberte 6 Extension, Dakar",2 chambre,120.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9db6803181bc83317b80115a9e37273/-/horizon-files-prod/ed/picture/q56pr57r/dae82797794d90658a41045f9ba4aa0178e0e394.jpg
Appartements f3 et f4 à la cité isra de hann marinas,"Hann Marinas, Dakar",non précisé,,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f85011c18b6b4b4e055831cfdfb3cc/-/horizon-files-prod/ed/picture/qxjprwj2/36679c3b3adfc86011fbe6bfc6f845f6816d6bf9.jpg
Appartement meublé f3 à yoff almadies,"Ngor, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a3107750b91e0737f142b04083a1980/-/horizon-files-prod/ed/picture/migrated/q2k2m4k/bfcb5e53c1a25a616267735b22bdb25922bd8506.jpg
Chambre meuble / studio meublé,"Sacré-Cœur, Dakar",non précisé,,18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/076eb68d5aafb34125e2e0dc02dcf8d8/-/horizon-files-prod/ed/picture/qng90z4v/fa1a56097a6928d46d00d1e3b0232418dce73c08.jpg
Studio meublé à louer sacré cœur,"Sacré-Cœur, Dakar",1 chambre,40.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2bbf18360296fa6ce3600cd9ff5d9367/-/horizon-files-prod/ed/picture/qjwd8ve/14ef237a1e9c5e7aba87b58469917745444def52.jpg
Bel appartement meublé à ngor almadies,"Almadies, Dakar",non précisé,,799948,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72be0f77c875ae046bacb4dc386094d6/-/horizon-files-prod/ed/picture/qj4qvkw8/4a57d74a828327da9e70f3cc7881653aeb19ce8f.jpg
Appartements meublés à louer vdn liberté 6,"Liberte 6, Dakar",non précisé,,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e139d9593dff3f33ed8440ce352abc8/-/horizon-files-prod/ed/picture/q44dgvd2/c174b12e5fe21067d660aecce7de58ae0eb1a55f.jpg
Studios meublés à louer vdn,"Liberte 6, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f53210fc345d32541ae4ee0fc5d8677a/-/horizon-files-prod/ed/picture/qzv400gd/3cb6f87661c7bae7b5890c1cfe965c69b0e4a8b3.jpg
Appartement f3 meublé à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",non précisé,,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4a9c73d4d5cc30e3770eb047a6ae0a5/-/horizon-files-prod/ed/picture/qngpw22g/b4cd254bf8a49fa3bec40d122dd41870729c8832.jpg
Studio meuble,"Cité Keur Gorgui, Dakar",1 chambre,50.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5beaa02858b4f09df6f2bdf85ac8a56/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q56px9kr/12afed661171d84a8aff3d2424f8beb2d8abecc9.jpg
Studio luxe et confort,"Yoff, Dakar",1 chambre,100.0,29000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/126779035cfc9e85c64a83bc6ab685cd/-/horizon-files-prod/ed/picture/qpdmpmjr/9c7a5cbe1e008c0c5a552092a217c4c722a1f681.jpg
Appatement meuble sacré cœur 3 vdn,"Sacré-Cœur, Dakar",2 chambre,100.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9cac1a0bfbec5204a61aae8dcc8278b0/-/horizon-files-prod/ed/picture/qde906g2/162c66a110a4a229f4177b58b3c96228ba8e129d.jpg
À louer – appartement meublé f5 à ngor almadies,"Ngor, Dakar",4 chambre,200.0,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f2a9dd4fafeff0de92f24a7bbf4f3cd/-/horizon-files-prod/ed/picture/qm50v44z/f96e8fdcb8406e631c2f0f9ca55c427ba862ec07.jpg
Cosy f1 meublé à ngor/almadies recasement,"Almadies, Dakar",non précisé,,27500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5a4bcb876f61c329d97474ccca0f179/-/horizon-files-prod/ed/picture/q9mj2e0v/150df22d20a033e7cbd514417a5923d9a9ca1e77.jpg
Chambre meublée sur dieupeul,"Dieuppeul, Dakar",1 chambre,30.0,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa3fe1516192157fa3cd4583e4736293/-/horizon-files-prod/ed/picture/qgqwzv5n/46189fd2fbc675f0ec3ce6a7af2944f7158c736a.jpg
Mini studio meublé sur bourguiba,"Avenue Bourguiba, Dakar",1 chambre,70.0,17500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1a1c46c98a8cc8c0c30035b67243aa2/-/horizon-files-prod/ed/picture/qm5g4n7j/71d89a3e2a33378abe5d2073630129d8cd26f37c.jpg
Chambre meublée a louer a sacré coeur,"Sacré-Cœur, Dakar",non précisé,,17500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/286a8762147c99f7ce843ff8c31bdc87/-/horizon-files-prod/ed/picture/q0g745d8/bfb0a97b28c7f5616ee6c59800583b43578f31df.png
Bel appartement meublé à louer cité magistrat,"Cité Damel, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ed0cdfac01eb16223e377a4ab04d72e/-/horizon-files-prod/ed/picture/qxj8wg2m/08d627d902ba948f1096340e55196c2fd99d0535.jpg
