Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
Magnifique f4 meublé almadies,"Almadies, Dakar",3 chambre,250.0,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18d13aaec9aadbae4716aad8754a188d/-/horizon-files-prod/ed/picture/q6xqd8rz/5346efa3548476b31126ace8bbf7a14cc5162b14.jpg
Mini studio à scat urbam,"Hlm Grand-Yoff, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c634433f715c202fa43adabae2cd510/-/horizon-files-prod/ed/picture/qng9dkn0/0e3ecf7320aaa753350074e7538e65bcc22b3290.jpg
Studio meublé a louer aux mamelles dakar,"Mamelles, Dakar",1 chambre,50.0,18500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ab7ce3fcaad77a1d19f7e1f53e5f09f/-/horizon-files-prod/ed/picture/qenv6k74/9a31f40f2171adacb6bee00c1fa08f9bbe2afb5c.jpg
Appartements meublés f3 à saly,"Saly, Thiès",2 chambre,90.0,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/199d29a85bdb4c3a08c8284b2a3da23d/-/horizon-files-prod/ed/picture/qpdmzmdq/946da51ac526a217d5d474e15175821af5071cec.jpg
F2 & f3 meublé corniche mermoz vue sur mer,"Mermoz, Dakar",1 chambre,100.0,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a7f54fa0dfa8d0b21738535cabb8a8aa/-/horizon-files-prod/ed/picture/qkr7r9xn/72fd8680883e6f378086d4359d15c31ed11b7f0c.jpg
Bel appartement meublé au point e,"Point-E, Dakar",non précisé,,675000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/134ea0bc165ff6743d30919b25a5e420/-/horizon-files-prod/ed/picture/qenrddzd/7f8dbea19abffca5c51c8a7ecde6d7d9c292ce5b.jpg
"Très beau studio neuf, style européen","Vdn, Dakar",1 chambre,70.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/367b8cd5399723190ed28f0c274a8dcb/-/horizon-files-prod/ed/picture/q0gk70wx/845c49ce15092396246aa1e0f50053ae2876252f.jpg
Appartement chic et moderne maristes 2,"Hann Maristes, Dakar",2 chambre,67.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd8ec53be145fe0b755f986765d0724e/-/horizon-files-prod/ed/picture/qgqw24ge/3cfc667e68026070acf1b805ad5f31e163838eb7.jpg
Appartement meublé à louer mermoz,"Mermoz, Dakar",3 chambre,120.0,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36e079272ba99832df2fbc0111e890c3/-/horizon-files-prod/ed/picture/q44dxj2r/c2d4a5f4f0a4b7d7697317d6cfcc62c7a74c749b.jpg
Très joli studio sur la corniche de ouakam,"Ouakam, Dakar",1 chambre,70.0,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38100aa6f35d2e91531bd1e81181cfc6/-/horizon-files-prod/ed/picture/q9mjr6rv/a1990ebb03f2d925252c64eb3647dcd6eccd9de3.jpg
Ref_3304_pl appartement meublé à louer aux almadies,"Almadies, Dakar",non précisé,,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93e6ce44075834097559042b39c9eecd/-/horizon-files-prod/ed/picture/qng9pz2g/fbac2191c8cf60f69bd39d3d1d51e59692f2e0f1.jpg
3 chambres meublé à louer au point e,"Point-E, Dakar",non précisé,,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f5a29d2604c27a21bfa977fe9b0d66/-/horizon-files-prod/ed/picture/qv4w8qrj/2a1f8721b1a65b7a5547abaeacd2795d55d9f889.jpg
3 chambres salon meublé point e,"Point-E, Dakar",non précisé,,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1d5d854f5b43acb241d2ed2429ccc01f/-/horizon-files-prod/ed/picture/q9mk0gwv/08cd74967d95ab4decb702b77af72afcd7be6048.jpg
Studio meublé à louer à hann maristes,"Hann Maristes, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/648646677e6e99dcc17f8b27ab212d3d/-/horizon-files-prod/ed/picture/qp4w2jj/3d548018e63765d90d9f4510f13650d0261b5923.jpg
Appartement meublé à louer à hann mariste 2,"Hann Maristes, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c535dbd97b4f65e1d8bd9e22bd21cb0b/-/horizon-files-prod/ed/picture/qv44zwzv/e87637e8346d23479ae6511dc044e03be1ba6d0a.jpg
2chambres avec vue sur mer à ngor,"Almadies, Dakar",2 chambre,140.0,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bd16ee3c447fae8225830325c0fe04e/-/horizon-files-prod/ed/picture/qde7zxvr/d1426e0c7c6d27d42c6d7c2069fa799842e82dc0.jpg
Ngor studio chambre salon près de la mer,"Ngor, Dakar",1 chambre,60.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/095e53c8bc75d456160bd58084d5f4d6/-/horizon-files-prod/ed/picture/qde7q6k8/625252d6fced81b84477d25f9b64dcbcb04b85b3.jpg
Ngor studio chambre salon près de la plage,"Ngor, Dakar",1 chambre,60.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2514f689ee06062eb9b6693b4aea473/-/horizon-files-prod/ed/picture/qq42nv2w/85df8e24ef8185696070c5f31a478c939c57b490.jpg
Villa cosy à saly,"Saly Portudal, Thiès",non précisé,,85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19018637ae161e9b848e05d34514c519/-/horizon-files-prod/ed/picture/q6xqd5xn/1b76dcab3696981bc82c59076c7001de092241bc.jpg
Appartement de haut standing meublé à la résidence kalia,"Zone De Captage, Dakar",3 chambre,100.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/752d2137c1e03fd2172de93ab933f3bf/-/horizon-files-prod/ed/picture/q78jw0pq/d1037c8412868bd534de859328af7b7148cb90d7.jpg
Mini studio meublé à louer à liberte 6,"Liberte 6, Dakar",non précisé,,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/98cca09b023ab60e5d84edfc9914ba7a/-/horizon-files-prod/ed/picture/qgqmwd59/5f42710080178657c1a236cf225df002df1c7c2f.jpg
Appartement meublé à louer à corniche ouakam,"Ouakam, Dakar",non précisé,,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13c2711e31ea4704829766ecf002335c/-/horizon-files-prod/ed/picture/q6xqkx0g/33c8b912dc982cee9d580fe5b0ad37ecf21d3772.jpg
Appartement meublé longue durée entré mamelles,"Mamelles, Dakar",3 chambre,200.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49aa2dc4e7c37ccc49ac7efd2f1a9a0d/-/horizon-files-prod/ed/picture/q78wqqgm/44dc33d6fe1fc1f53c1b8ad1cbb73767fcd425d3.jpg
Studio moderne 1chb salon à ngor,"Almadies, Dakar",1 chambre,70.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de4aa542bb1512b1c4f5b5ff146a0fbc/-/horizon-files-prod/ed/picture/q9m9v24j/f56c2e78a97cb9c8befcde10b5dd99e2783f8a7a.jpg
Appartement meublé à louer à ngor almadies,"Ngor, Dakar",non précisé,,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6d3c9087024a98f0d0c189c2129e209/-/horizon-files-prod/ed/picture/qrzr8rzj/5dd483299da8013cfc4e18f58329effb4fb320c4.jpg
Appartement meublé à louer ouest foire,"Ouest Foire, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0cec20b83ee25b8c10beec2403b4efdd/-/horizon-files-prod/ed/picture/q6xd8nx4/1250018cd936cd0281a09bbd097ca812bbf39aca.jpg
T3 meublé minimum 2 nuitée à zac mbao brioche dorée,"Mbao, Dakar",2 chambre,70.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e64b26ac86811b6663211397dc719185/-/horizon-files-prod/ed/picture/qrz894vx/6ce8c339cbe9b2c5092f16ea219a8d5267f3ea9e.jpg
Appartement meublé à louer aux almadies,"Almadies, Dakar",2 chambre,160.0,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67b36d65cda98440ab1e27180c8caf5c/-/horizon-files-prod/ed/picture/q0gk7w86/ae3ba7cba8683643ef608a21933fcc9d636ec7fc.jpg
Mini studio en location à résidence zeina hann mariste,"Hann Maristes, Dakar",non précisé,,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39f868fbc9bf61ddaaa3dd366a63de25/-/horizon-files-prod/ed/picture/qxjpkwrq/fe831879213be5d4e94df9180a845dc7a20162ba.jpg
Appartement meublé à la cité keur gorgui,"Cité Keur Gorgui, Dakar",2 chambre,100.0,47500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b559ea86a3bd0a4d24303deb27fa1f87/-/horizon-files-prod/ed/picture/q78jw7em/6bba0b0621db5d2a2c95963d832e45778c9169de.jpg
Chambre meublee a dakar (sacre coeur 2),"Sacré-Cœur, Dakar",non précisé,,10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0759f10f55d92674a835ecb3863f2a8/-/horizon-files-prod/ed/picture/qenrqrez/70af8ba9a49c411f49ae2a3aa7610a934a867331.jpg
Studio meublé en résidence avec piscine,"Ngaparou, Thiès",1 chambre,40.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c80a30f0a6c9bc1ae8a3b06a331fa6b/-/horizon-files-prod/ed/picture/qpdmkw9x/49115e93c7c4dabbae95795aca2a0629d42e37ce.jpg
Appart f3 style oriental-grand standing lumineux,"Liberte 6, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44b45c84134728032d44f2f0bc94d509/-/horizon-files-prod/ed/picture/qj46rk0e/203a1640f3a585359a7a13e8b90c0cc23b3475da.jpg
Studio meublé à la cité keur gorgui,"Cité Keur Gorgui, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb9fea4af67513d0973c14db93c6ff8f/-/horizon-files-prod/ed/picture/q8v4nkg9/fbed39b3942077ecf3a3af456512fefb9ff8aa78.jpg
Appartement f3 à louer sur la corniche ouakam.,"Ouakam, Dakar",2 chambre,110.0,850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87464b97e6d82efdd30ca0805b520606/-/horizon-files-prod/ed/picture/qxjp2vew/a3fd2e5cf4fd429f19760dd115e9ec0a0d906182.jpg
Studio meublé a louer liberte 2,"Liberte 2, Dakar",1 chambre,50.0,33000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89a57038d3cd0d04a5e05109f262cff3/-/horizon-files-prod/ed/picture/qde76xrm/11ec52538f72b35014e35b67771e5fafb7c332bf.jpg
Studio meublé à louer sur fann hock dakar,"Fann Hock, Dakar",1 chambre,70.0,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bad53517e062867d1c00a83547135aab/-/horizon-files-prod/ed/picture/q4454n95/3e99b92eb8db83a8fc2ad91160e7a151990de100.jpg
Appartement meublé à mermoz,"Mermoz, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d023789ff2c4e2c66fcd20a5d99426fe/-/horizon-files-prod/ed/picture/qpdmekv0/afaafd659212c57fbb7471dfb815d63ee126d8c9.jpg
Appartement meublé moderne yoff apecsy,"Yoff, Dakar",1 chambre,150.0,23000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e39703039ee344772fb5cf7b975bd900/-/horizon-files-prod/ed/picture/qxjpnre4/f48766d0bd2136e743587777014190ad1d06abb8.jpg
Appartement à louer sicap liberté 3,"Sicap Liberté, Dakar",non précisé,,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/182ae1f7097dca6c77b93c11ae038540/-/horizon-files-prod/ed/picture/qv4wr9rk/fb7ec7655e9f813ff7cb4a2d97f49c488907b575.jpg
Grand appartement 2 chambres ouest foire,"Ouest Foire, Dakar",2 chambre,180.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ffc0bc2240c060d61e67407ddc0dc108/-/horizon-files-prod/ed/picture/qng9x44e/bb078261af0d2b782a6baf47ebd9f66f521201ea.jpg
Chambre meublée à louer à ngor,"Ngor, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f01ce1dff27e1dbc4cc0c366d03e1c20/-/horizon-files-prod/ed/picture/qkr7gwdn/c9e4667532f81ad787ac205d4a63eb8bceea0f31.jpg
Appartement à louer en longue durée à ngor-almadies,"Ngor, Dakar",non précisé,,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b90b8a0868b829e495aa28dc56bcd24d/-/horizon-files-prod/ed/picture/qkr7gwx5/31d6318ae0ac79d646d34ff443df1dc26cc9eb63.jpg
Studio meublé almadi,"Almadies, Dakar",1 chambre,50.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcaad62a29ee7e726c85a35105879384/-/horizon-files-prod/ed/picture/qng9x47x/847f1306ef461b0a769eaa9365fb8a1607f4b960.jpg
Maison d’hôtes f2 meublée équipée à louer,"Sicap Sacré-Cœur, Dakar",1 chambre,150.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1923e823bd1d09c6d67f4186ad9d5984/-/horizon-files-prod/ed/picture/qngpk6jx/84518d3e46062f823810abb4616a2767bf5d84d6.jpg
Studio meuble a dakar plateau,"Plateau, Dakar",1 chambre,60.0,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf193f0de388a61c96ea4ef7b9568fbc/-/horizon-files-prod/ed/picture/q9mk9q60/23a701ccb3f5d142d7e6d09d68a4e46d8375dd7e.jpg
2 pieces lumineuses rooftop (studio ),"Almadies, Dakar",1 chambre,60.0,27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82f96a81e5163531fba77b9cb7ee8f88/-/horizon-files-prod/ed/picture/q9mj80m7/faeeaaa3f3910541c3d958203ad68aeded24076b.jpg
Studios meublè en location à ngor almadies,"Ngor, Dakar",non précisé,,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/61df2dbdfc48137e9674a8c1a017c02d/-/horizon-files-prod/ed/picture/qpkq7dv/0c8e5d1b75a9d6e807cd07ad37eedff38fc3d4b2.jpg
Appartement meublé f4,"Dieuppeul, Dakar",3 chambre,150.0,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1e210c9166fab2370fc928e30336e0a/-/horizon-files-prod/ed/picture/q6xq6778/ceee6ad8ffaf727a4121e761fb4a224928349349.jpg
Appartement meublé à fass,"Fass, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a3e9a674ddc30731649ad11db9b6714/-/horizon-files-prod/ed/picture/qkr8kkj8/1c9380bbaeec7a99c0fde4020b0282a643af940a.jpg
Chambre meublée ngor-almadies,"Almadies, Dakar",1 chambre,40.0,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d764d73c170749683729ea7a51628674/-/horizon-files-prod/ed/picture/qde74n2g/2386a8fcb790f7b5c10d5e15b00cfb0db60a79b0.jpg
Appartement f2 meublé à ngor almadies,"Ngor, Dakar",non précisé,,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bfd1dc53579cbcb7601953bf4d232bb8/-/horizon-files-prod/ed/picture/qngp4w4v/fa838b1f14941a0d76f9adcb10d0c0e11964dece.jpg
Mini studio meublé à louer au point e,"Point-E, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb67964f8b3222c83e02309d65be85f8/-/horizon-files-prod/ed/picture/qpd6xenv/e3279b4b01915be8804397ef0afc4249b1015537.jpg
Studio meublé a louer a sacré coeur derrière auchan,"Sacré-Cœur, Dakar",non précisé,,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aff51c464018478e3deb44b7c2b3a7cc/-/horizon-files-prod/ed/picture/qpdg606q/3d583e3915460b107b47ede74a08f5d1a7e77ae5.jpg
Studio meuble mamelles - mbackiou faye,"Mamelles, Dakar",1 chambre,58.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9cc96b02c3b5abf399f13a7d9458a16/-/horizon-files-prod/ed/picture/qde9kq47/5b8cff2d5d2423d86cfc87ce828872f5a663322a.jpg
Appartement meublé dakar cité mbackiyou faye,"Ouakam, Dakar",2 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1b9413fa7d4f78112a5cc9229d011550/-/horizon-files-prod/ed/picture/qngpkn59/551c00952301adf6f7218d86a4f87746631ae432.jpg
F4 meublé à louer,"Point-E, Dakar",3 chambre,170.0,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/151b20dd9b1354db61d5ce2197a78b18/-/horizon-files-prod/ed/picture/q2jkr2ge/34eaebf8fa3663ad105a48fb3fb39cddc63601ae.png
Appartements meublés à louer à keur massar,"Keur Massar, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce672d20b28d8249eb74dc625cd7d574/-/horizon-files-prod/ed/picture/qde9k2m7/16ca0c1a2f203607d6f54570240f74829667c7d3.jpg
Ref_3353_pl bel appartement meublé neuf à mermoz,"Mermoz, Dakar",non précisé,,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a43d1a6f8417cef4f9ade1b04b230cf/-/horizon-files-prod/ed/picture/q0gkwxzg/504572e80f58b4c1fef0d6a8a63490cf580c6cd1.jpg
Charmant appartement ouest foire cité air afrique,"Ouest Foire, Dakar",2 chambre,150.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b47956a5663d1388484d18b89a9e462e/-/horizon-files-prod/ed/picture/q445dqez/d4874fdcf11e8847a27e6b6f4fd8b58590ee532e.jpg
Studio haut standing,"Mamelles, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/925afe54bd12fd0b1a92619bd1dfb7c6/-/horizon-files-prod/ed/picture/qpdg6qkq/feead0aede4625b27a74f391d024e69831d871ab.jpg
Ref_3293_sey appartement meublé à louer à mermoz,"Mermoz, Dakar",non précisé,,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/413b165dfcbce5cfc58fe91b9056fe5a/-/horizon-files-prod/ed/picture/qde7pmm0/04e7bb445ea7de392e872d4b3b5f9f3bcc0361dd.jpg
Appartements meublés climatisés à thiès,"Thiès, Thiès",non précisé,,17000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f2b0439904e1be697ac97372238960a/-/horizon-files-prod/ed/picture/qm5gqevr/3685690d461bb5c8812bc665357cc9f1ad3c0703.jpg
Appartements meublés haut standing aux maristes,"Hann Maristes, Dakar",non précisé,,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58b5d5fae9cf04fac06c35633785dc38/-/horizon-files-prod/ed/picture/qxjp4xjw/6597a87457633478087adf9f5729cdf9cb21a95d.jpg
Appartements meublés à thiés,"Thiès, Thiès",3 chambre,250.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/101e50175cce698bfb1f2277a2ddec9c/-/horizon-files-prod/ed/picture/q8jq84j/e25e03065c40aed05827f3672095e194de1232d1.jpg
Plateau appartement 2 chambres salon meuble à louer,"Plateau, Dakar",2 chambre,190.0,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0edf5a0ca0c4357184e5a46d7c9a9069/-/horizon-files-prod/ed/picture/qv4w46rg/de5ecab60da5e6394bdc9dedcc94a3ea36984f24.jpg
Chambre sdb meublee,"Mamelles, Dakar",non précisé,,18500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64f51ddd0e35b8aae7aab67f842360bf/-/horizon-files-prod/ed/picture/qpdmz0p2/8b6a1e63aa22589960d97b51f21b3287e9cf91c9.jpg
Appartements meublés de 03 chambres salon,"Hann Maristes, Dakar",3 chambre,250.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aff495bc8f6096cedcc7c65b24bfb35a/-/horizon-files-prod/ed/picture/q56pxv0n/956faecd2e4c07ef9306f0242a7bbe2e7f8ee86f.jpg
Appartement meuble water front vue sur mer,"Mermoz, Dakar",2 chambre,90.0,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6151d77b71756bacb174bbe44d93fb5b/-/horizon-files-prod/ed/picture/qng9x2eg/ee6b61d265aac653fa937a29610743afb091525b.jpg
Studio meublé à dakar plateau,"Plateau, Dakar",1 chambre,150.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b7f85c4acd806e852cae534aaa9a4cb/-/horizon-files-prod/ed/picture/qm50pdej/7ec041838c12416db81c96288cb96d34cb5f3571.jpg
Appartement meublé,"Vdn, Dakar",3 chambre,150.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03cfe51d421bb4e33b22350c85547ac2/-/horizon-files-prod/ed/picture/qj46rxkd/eec2c781e7a9682c0c9c95dea78ed18375f53aaa.jpg
Tres beau studio,"Almadies, Dakar",2 chambre,30.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/040d3ce2e72f774976305e4906520903/-/horizon-files-prod/ed/picture/qxjp60qq/0a2f0e287be8ae787d72f61da6a7f9d1944a28a8.jpg
Appartement meublé à la cité keur gorgui,"Cité Keur Gorgui, Dakar",2 chambre,80.0,47500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/272e1978cff4555380c6ad284312da29/-/horizon-files-prod/ed/picture/q78j50zn/3187123c8855eaaf98637cec533365ef94b324df.jpg
Studio meublé à la cité keur gorgui,"Cité Keur Gorgui, Dakar",1 chambre,50.0,27500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1f11b9259c6726bb3e36ea99952ab8c/-/horizon-files-prod/ed/picture/qpdg6jer/e0c9f1536c3d4aac413941de49fd35133f7c13d8.jpg
Mini studio moderne avec terrasse a liberté 6,"Liberte 6, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8555ac80f84654dceb2c9d1e285a7c42/-/horizon-files-prod/ed/picture/q6xkezrj/602f0e9550d4675c464481558f5d52bd04b3e2ea.jpg
Ref_ 2574_appartement f3 meublé à mermoz,"Mermoz, Dakar",non précisé,,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3df430f4a32c3d5537d7607f13cae8b/-/horizon-files-prod/ed/picture/qxj82kew/7c41618a073f7aa2df6a493d3711deecbdb91918.jpg
Appartement à louer ngor,"Ngor, Dakar",3 chambre,150.0,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3fec4a411c480be1765454acb468b570/-/horizon-files-prod/ed/picture/q9mk8qxj/b0f9cd809c13942f8169d6578edfc882bfe1990f.jpg
Studio meuble aux mamelles derriere pharmacie atlantic,"Mamelles, Dakar",non précisé,,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44de16e91ed2e8878119a1ebd08b3f73/-/horizon-files-prod/ed/picture/qm5gm8gg/3147e82c61cdec50d1c940f04a8830d8144c973e.jpg
Appartement meublé aux maristes,"Hann Maristes, Dakar",2 chambre,130.0,24995,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c09c95cff8993df436431930d30c93d/-/horizon-files-prod/ed/picture/qv4w7498/caa627686038a55692980df6f30576f4dbaf0889.jpg
Appartement et studio à louer zak mbao sortie 9 de rufisque,"Zac Mbao, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f191a0ce7c824e6939f5be4605def88/-/horizon-files-prod/ed/picture/q6xdmgd8/4299e8c2e0d7de9e6b999d2ec5bda51fce939adf.jpg
Appartement meublé à louer à liberté 6 extension,"Sicap Liberté, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c99f1d807728d981efabb89c32020fe/-/horizon-files-prod/ed/picture/migrated/q595nze/589d375ce01ca063986cdf8338517c6211e3606a.jpg
Appartement meublé situé à la cité mourtala sur la vdn,"Vdn, Dakar",2 chambre,150.0,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca0276617c8112c7d773c51e8ad09be5/-/horizon-files-prod/ed/picture/q78j5jkx/56628f5612f3b642a69e44b38817763fa5602fdd.jpg
Appartement meublé à louer à dieupeul 1,"Dieuppeul, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eab568ebde59224ccc76beb9bf2eddd9/-/horizon-files-prod/ed/picture/q0g7q88z/b46be499ae06311db920681c268489e099d6b52f.jpg
Studio meublé américain,"Kounoune, Dakar",1 chambre,95.0,8500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e59a44fc98b6ac031b4d77f2175182f/-/horizon-files-prod/ed/picture/qj4qvmdz/e550ada01ccf1e8bb2b217062cd54eedec9c668a.jpg
Ouakam corniche -jolie vue,"Ouakam, Dakar",non précisé,,37000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9191b32851288f73fdc78dc89b4c7877/-/horizon-files-prod/ed/picture/migrated/q0kepxx/7f385bbf9806982181ae7a643fa865486b72391c.JPG
Appartement f3 de luxe meublé à louer en centre ville,"Plateau, Dakar",2 chambre,180.0,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f7142f8fda72e79362721670b11e2ef/-/horizon-files-prod/ed/picture/qq427754/c074d611904b4799a2f81365bf93eb3670b9b615.jpg
"Grands studios meublés à louer à toubab dialaw, piscine","Toubab Dialo, Dakar",non précisé,,23000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ece344ea782486415e7c9bf8a6a9e030/-/horizon-files-prod/ed/picture/qwep8wxz/9f1cac5cfa10b04842aab3118636b8b5ade54d09.jpg
Joli et spacieux appartement f3 meublé à liberté 6 extension,"Liberte 6 Extension, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dfd090bf96651cdaba41eb193d7c56c1/-/horizon-files-prod/ed/picture/qpdg6wvv/a11691408f34818d199e3449f0740f9d4509a64b.jpg
Résidence meublée à ngor almadie,"Almadies, Dakar",8 chambre,200.0,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f54b94f9fddf279432530b52ac49ca3/-/horizon-files-prod/ed/picture/q76d0wg/764b2eef853d4e1e306d939f136cb5ede237fd47.jpg
Studio meublé à louer à la sicap baobab,"Sicap Baobab, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ab6c2f80e48f186dfa33b7a05ea202f/-/horizon-files-prod/ed/picture/q78j785g/c9b17b5f6aaf5d6c1df94adb96979878be4b9050.jpg
Studio meublé à louer ngor,"Ngor, Dakar",1 chambre,80.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0b897630694d54ba18d7ce05964cff2/-/horizon-files-prod/ed/picture/q2jzk72p/6c0ee0e3da00480bb42ba98609a81f866a6ed9d6.jpg
Appartement 3 pièces avec vue/mer à ngor,"Almadies, Dakar",2 chambre,118.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cb3bee6421c57aba6d9b8239c04b84f/-/horizon-files-prod/ed/picture/qpd69m64/529bf9edab12bfbcc3a43bb95c34c9d7826b7be2.jpg
Appartement f3 meublé aux almadies,"Almadies, Dakar",non précisé,,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12164c1f060011951aa45f5827cfdbd7/-/horizon-files-prod/ed/picture/q9mk90gv/733cd51aaa91e6e557c3fae52f67df4bd7c4e96a.jpg
Studio meublé à louer aux almadies,"Almadies, Dakar",non précisé,,370000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6435b17c8c66de3ca1bf17970346ad92/-/horizon-files-prod/ed/picture/qrz8e4vj/2bb1413203b901e053edca2d1923bd198d205bda.jpg
