Titre,Localisation,Surface_m2,Prix_FCFA,Image
F4 & f5 vue sur mer à vendre et à louer aux mamelles,"Mamelles, Dakar",189.0,236250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6a394df78b36b3639a3136518f11d94/-/horizon-files-prod/ed/picture/qgqm49gk/3a60542522517a60c25458356d218b1feddf4317.jpg
Appartement à vendre aux almadies à proximité du king fahd,"Almadies, Dakar",310.0,370000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe724ad0ddda652431a84cf3bb5abad9/-/horizon-files-prod/ed/picture/qrzrn5n8/94711ce76ddebffb5412b605e14cca3577c87702.jpg
Appartement penthouse à vendre aux almadies,"Almadies, Dakar",440.0,600000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56123b9682c7ca811478a072b5fce06f/-/horizon-files-prod/ed/picture/q0gkn0wj/6fbb1aa586456c777460bbe80862dcd35cb471b3.jpg
F4 neuf et moderne à vendre à liberté 6,"Liberte 6, Dakar",140.0,90000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63c843eca1baeaa47fd95f58355b2a40/-/horizon-files-prod/ed/picture/q445rdqv/c4274f7794ab56ab1998f87a7795754933f72c55.jpg
F4 de 145 m² à vendre à sn city yoff,"Yoff, Dakar",145.0,115000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe25bce791fd71d0a19f102d9d47c72d/-/horizon-files-prod/ed/picture/q2jk8rk2/22c47f984ff266b0c3c67852de5fba0fdc56ba5f.jpg
Penthouse f5 à vendre almadies,"Almadies, Dakar",440.0,650000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2729e07881dcad15b148ee3329b72cec/-/horizon-files-prod/ed/picture/q2j0mq6v/74a3ef26a3d94f9c532920c27af10c2790eaa4b4.jpg
Appartement f4 diamniadio,"Liberte 6 Extension, Dakar",113.0,45000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b36e3b09bab82a2f79d4bb33c80ce608/-/horizon-files-prod/ed/picture/qj46qxre/ff6fd02eb47b0782f6c05219f658aadf5b4a9b5a.jpg
Super appartement f4 lumineux au cœur de dakar,"Hann Maristes, Dakar",137.0,95900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d269e431227d0993a308d4038cf81a3/-/horizon-files-prod/ed/picture/q8vm4q99/a7981cf8d5a62a7242da990ace809f71a4a05570.jpg
F2 à vendre aux almadies,"Liberte 6, Dakar",60.0,65000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec2bd84c800a8358e8d683a6e6a491fe/-/horizon-files-prod/ed/picture/q0gkn2v6/3d24a09a98f6f164c44b9360c08b199c751bbf12.jpg
Appartement f4 résidence kalia,"Zone De Captage, Dakar",100.0,78000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7621a8cc1da6468175a48f61f0c82fe9/-/horizon-files-prod/ed/picture/qngpqwn9/2237cbcd2ff92f5658474516f881206fd895d9ea.jpg
Appartements à vendre aux almadies,"Almadies, Dakar",,90000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0719cb82b746d1f6c87d544169754c5/-/horizon-files-prod/ed/picture/q9mj7gm5/86daa63915b6c8ac0b89f59f6aeb2c850ced7b06.jpg
Ref_4195_pl – appartement f4 à vendre – point e,"Point-E, Dakar",154.0,159000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1b2111ec1742247bfdbe029d77e0a281/-/horizon-files-prod/ed/picture/qng97mzz/34e013faac4a50b3463a2511828f6b70091ff25f.jpg
Appartements f4 à vendre aux almadies,"Almadies, Dakar",300.0,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b43cc5f3a85b8775ee8fed7516f10afe/-/horizon-files-prod/ed/picture/qq4z902w/776d765ebe438cd026c9020eb0d13220954bcb2d.png
Appartement à vendre fann résidence,"Fann, Dakar",180.0,205000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/649358c03393d6f8e7611d524391acf6/-/horizon-files-prod/ed/picture/q9mkj5qw/17671b5385748af10fe3a36bb1c846fe6559be29.jpg
Appartement f3 vefa à vendre,"Hann Maristes, Dakar",107.0,74900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/52cf5e576557232fd9ec0c2105932051/-/horizon-files-prod/ed/picture/qrzrrz29/2cbfb81f9f806731fc7c8723ab36704c506b080e.jpg
Vente appartement avec vue sur mer au virage,"Virage, Dakar",262.0,262000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c1f45b37f3cc8a3a29e61283b012898/-/horizon-files-prod/ed/picture/qde784jg/26ef66d82e24a44f69cab56ffefb2acfdf803e2c.png
F4 sur bambilor citée résidentiel,"Bambilor, Dakar",164.0,69900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd57aca0551ad80e3ae25a945e34d1c6/-/horizon-files-prod/ed/picture/qrzrq6zm/ecb9c00020f8b7a0d2c8bf5087bd4242e11b954e.png
