Titre,Localisation,Surface_m2,Prix_FCFA,Image
Lumineux f4 sacré cœur 3,"Sicap Sacré-Cœur, Dakar",,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4effb37fb3c2231865d3b6815b44571e/-/horizon-files-prod/ed/picture/qkr76dmj/e4f3c08bd3c2f0dd0f11936330592f76631da348.jpg
Appartement f3 à louer à ngor /almadies,"Ngor, Dakar",,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbb919cc376bcdeb1e8518decc91c0b5/-/horizon-files-prod/ed/picture/qq4zwkz4/16b208cfee5d848a02ec64f0591eddb8764c7f11.jpg
Duplex à louer au virage,"Virage, Dakar",,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40d15ea1a382665bb416e69a5ba7002e/-/horizon-files-prod/ed/picture/q445r2n8/902c4b1741a75dd74464c4caf5712bdbfcaccdf6.jpg
Appartement f2 à louer aux almadies,"Almadies, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92b258ad9b33822c0935f7f705acde6d/-/horizon-files-prod/ed/picture/qj465drz/18addc833d01417a0e1a697111ee33f1c1e931da.jpg
"Appartement f2 vue magnifique – haut plateau, dakar","Plateau, Dakar",,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/629c51295ab40536030b34b2505e7fe0/-/horizon-files-prod/ed/picture/q445r288/9c83452f65ea3464ce92d36921f72178b5e4e576.jpg
Un joli duplex à louer aux almadies,"Almadies, Dakar",225.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d6f27fb94fddc370da8fb5c89fcae31/-/horizon-files-prod/ed/picture/q0gk80px/f485c8317e3963a3301356a9026f6ad4210ed5a1.jpg
T3 à vendre sur l'avenue bourguiba,"Liberte 1, Dakar",118.0,122000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e9f985cb52c92842a9b6bc1e75378f5/-/horizon-files-prod/ed/picture/qwerrv7g/82ce836ef4fc8012c98d1aaa5dacc2e32007c10a.jpg
Appartements aux mamelles,"Mamelles, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/600615e401e7ef9d2f08f5e7d07b2102/-/horizon-files-prod/ed/picture/q9mkr20n/c5632cd10ef9dc5a12742683643f712fbeba96c2.jpg
Corniche plateau 4 chambres à louer vue sur mer,"Plateau, Dakar",,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/439a1127ff52b1e6b0c78f466d0ea916/-/horizon-files-prod/ed/picture/qj4qv00v/11a8968808c400ae38ac31b633ffe139ba5e12bb.jpg
Très bel appartement à louer,"Mamelles, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7719c211532db880b4819b659845fc3b/-/horizon-files-prod/ed/picture/qj46qdxz/4ab0debd0dc4589afe71adc51434baeb0e5bde03.jpg
Appartement f4 à louer mariste,"Hann Maristes, Dakar",200.0,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc1cd62dbf9bf010128a0935b7f2c45e/-/horizon-files-prod/ed/picture/qgqw9v69/cc1a53402eeab090c27cf28d83fc0adfa172db0b.jpg
Appartement f4 à louer,"Mamelles, Dakar",,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e77e280482b88c5860c19258d384c5ec/-/horizon-files-prod/ed/picture/qrzrn4wx/8dc5d7a714fe04ff4718c440bfcf46615255efc1.jpg
